filename,module_name,module_params,execution_time,retrieval_f1,retrieval_recall,retrieval_precision,retrieval_map,retrieval_mrr,retrieval_ndcg,is_best
0.parquet,vectordb,"{'top_k': 1, 'embedding_model': 'openai_embed_3_small'}",0.06430788625750625,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.5526315789473685,True
1.parquet,vectordb,"{'top_k': 1, 'embedding_model': 'openai'}",0.06406482479028534,0.4649122807017544,0.4649122807017544,0.4649122807017544,0.4649122807017544,0.4649122807017544,0.4649122807017544,False
2.parquet,vectordb,"{'top_k': 3, 'embedding_model': 'openai_embed_3_small'}",0.04708256846980045,0.3684210526315789,0.7368421052631579,0.24561403508771928,0.3157894736842105,0.3157894736842105,0.4216768161654166,False
3.parquet,vectordb,"{'top_k': 3, 'embedding_model': 'openai'}",0.06080326281095806,0.3508771929824561,0.7017543859649122,0.23391812865497075,0.3172514619883041,0.3172514619883041,0.4142614544799542,False
4.parquet,vectordb,"{'top_k': 5, 'embedding_model': 'openai_embed_3_small'}",0.06254355949268006,0.2719298245614035,0.8157894736842105,0.16315789473684209,0.21140350877192984,0.21140350877192984,0.3548802967338337,False
5.parquet,vectordb,"{'top_k': 5, 'embedding_model': 'openai'}",0.062047719955444336,0.26023391812865504,0.7807017543859649,0.15614035087719297,0.21213450292397662,0.21213450292397662,0.3474585858956766,False
6.parquet,vectordb,"{'top_k': 10, 'embedding_model': 'openai_embed_3_small'}",0.045212597177739726,0.15789473684210534,0.868421052631579,0.08684210526315789,0.10124269005847954,0.10124269005847954,0.2653386947562908,False
7.parquet,vectordb,"{'top_k': 10, 'embedding_model': 'openai'}",0.039553945524650705,0.15470494417862843,0.8508771929824561,0.0850877192982456,0.11034530771372876,0.11034530771372876,0.269310979367707,False
8.parquet,vectordb,"{'top_k': 50, 'embedding_model': 'openai_embed_3_small'}",0.03507816791534424,0.03818369453044375,0.9736842105263158,0.019473684210526313,0.02019279805439606,0.02019279805439606,0.17314252471761507,False
9.parquet,vectordb,"{'top_k': 50, 'embedding_model': 'openai'}",0.03403733278575696,0.0371517027863777,0.9473684210526315,0.01894736842105263,0.02070618988120629,0.02070618988120629,0.17016319711103123,False
